position,column,inferred_type,non_missing_count,missing_count,missing_pct,unique_count,unique_pct_non_missing,is_all_missing,is_constant_non_missing,is_unique_non_missing,min,max,mean,top_values
1,year,integer,1051,0,0.0,1,0.0951,False,True,False,2024,2024,2024,"[{""value"": ""2024"", ""count"": 1051}]"
2,economy,string,1051,0,0.0,1,0.0951,False,True,False,,,,"[{""value"": ""Eswatini"", ""count"": 1051}]"
3,economycode,string,1051,0,0.0,1,0.0951,False,True,False,,,,"[{""value"": ""SWZ"", ""count"": 1051}]"
4,regionwb,string,1051,0,0.0,1,0.0951,False,True,False,,,,"[{""value"": ""Sub-Saharan Africa (excluding high income)"", ""count"": 1051}]"
5,pop_adult,integer,1051,0,0.0,1,0.0951,False,True,False,816208,816208,816208,"[{""value"": ""816208"", ""count"": 1051}]"
6,wpid_random,integer,1051,0,0.0,1051,100.0,False,False,True,111280854,211101680,161770235.3786869647954329210,"[{""value"": ""111280854"", ""count"": 1}, {""value"": ""111423402"", ""count"": 1}, {""value"": ""111475462"", ""count"": 1}, {""value"": ""111543232"", ""count"": 1}, {""value"": ""111543245"", ""count"": 1}, {""value"": ""111561811"", ""count"": 1}, {""value"": ""111583667"", ""count"": 1}, {""value"": ""111763308"", ""count"": 1}]"
7,wgt,float,1051,0,0.0,567,53.9486,False,False,False,0.171572469766396,3.18546652438591,0.9999999999954108439581351094,"[{""value"": ""0.171572469766396"", ""count"": 53}, {""value"": ""3.18546652438591"", ""count"": 52}, {""value"": ""0.369710889231579"", ""count"": 17}, {""value"": ""0.540770505296808"", ""count"": 11}, {""value"": ""0.237136609410522"", ""count"": 9}, {""value"": ""0.267492271698"", ""count"": 9}, {""value"": ""0.796366631084891"", ""count"": 9}, {""value"": ""0.795058816917224"", ""count"": 8}]"
8,female,integer,1051,0,0.0,2,0.1903,False,False,False,1,2,1.368220742150333016175071361,"[{""value"": ""1"", ""count"": 664}, {""value"": ""2"", ""count"": 387}]"
9,age,integer,1051,0,0.0,75,7.1361,False,False,False,15,100,37.04471931493815413891531874,"[{""value"": ""20"", ""count"": 38}, {""value"": ""30"", ""count"": 36}, {""value"": ""18"", ""count"": 35}, {""value"": ""23"", ""count"": 35}, {""value"": ""38"", ""count"": 32}, {""value"": ""40"", ""count"": 32}, {""value"": ""25"", ""count"": 31}, {""value"": ""26"", ""count"": 31}]"
10,educ,integer,1041,10,0.9515,3,0.2882,False,False,False,1,3,1.808837656099903938520653218,"[{""value"": ""2"", ""count"": 668}, {""value"": ""1"", ""count"": 286}, {""value"": ""3"", ""count"": 87}]"
11,inc_q,integer,1051,0,0.0,5,0.4757,False,False,False,1,5,3.296860133206470028544243578,"[{""value"": ""5"", ""count"": 311}, {""value"": ""4"", ""count"": 223}, {""value"": ""1"", ""count"": 183}, {""value"": ""2"", ""count"": 167}, {""value"": ""3"", ""count"": 167}]"
12,emp_in,integer,1051,0,0.0,2,0.1903,False,False,False,1,2,1.450047573739295908658420552,"[{""value"": ""1"", ""count"": 578}, {""value"": ""2"", ""count"": 473}]"
13,urbanicity,integer,1051,0,0.0,1,0.0951,False,True,False,1,1,1,"[{""value"": ""1"", ""count"": 1051}]"
