column,token,kind,count
age,97,numeric_candidate,1
age,99,numeric_candidate,1
con10,8,numeric_candidate,4
con10,9,numeric_candidate,1
con11,8,numeric_candidate,3
con11,9,numeric_candidate,1
con12,8,numeric_candidate,7
con14,8,numeric_candidate,3
con14,9,numeric_candidate,1
con16,8,numeric_candidate,1
con17,8,numeric_candidate,24
con17,9,numeric_candidate,5
con18,8,numeric_candidate,4
con18,9,numeric_candidate,2
con20,8,numeric_candidate,3
con20,9,numeric_candidate,1
con21,8,numeric_candidate,4
con21,9,numeric_candidate,2
con23,8,numeric_candidate,6
con23,9,numeric_candidate,3
con25,8,numeric_candidate,5
con25,9,numeric_candidate,1
con26,8,numeric_candidate,7
con26,9,numeric_candidate,1
con27,8,numeric_candidate,2
con28,8,numeric_candidate,7
con29,8,numeric_candidate,1
con2a,8,numeric_candidate,1
con2a,9,numeric_candidate,2
con2b,8,numeric_candidate,3
con2b,9,numeric_candidate,1
con2c,8,numeric_candidate,7
con2c,9,numeric_candidate,2
con2d,8,numeric_candidate,1
con2d,9,numeric_candidate,1
con2e,9,numeric_candidate,1
con2f,8,numeric_candidate,3
con2f,9,numeric_candidate,2
con2g,9,numeric_candidate,1
con3,97,numeric_candidate,5
con3,98,numeric_candidate,1
con3,99,numeric_candidate,1
con30a,8,numeric_candidate,1
con30a,9,numeric_candidate,2
con30b,9,numeric_candidate,3
con30c,8,numeric_candidate,1
con30c,9,numeric_candidate,1
con30d,8,numeric_candidate,2
con30d,9,numeric_candidate,1
con30e,8,numeric_candidate,2
con30f,8,numeric_candidate,2
con30f,9,numeric_candidate,2
con30g,8,numeric_candidate,6
con30g,9,numeric_candidate,1
con30h,8,numeric_candidate,2
con31a,8,numeric_candidate,3
con31a,9,numeric_candidate,1
con31b,8,numeric_candidate,21
con31b,9,numeric_candidate,3
con31c,8,numeric_candidate,21
con31c,9,numeric_candidate,2
con31d,8,numeric_candidate,6
con31d,9,numeric_candidate,1
con31e,8,numeric_candidate,10
con31e,9,numeric_candidate,2
con31f,8,numeric_candidate,18
con31f,9,numeric_candidate,2
con31g,8,numeric_candidate,4
con31g,9,numeric_candidate,2
con31h,8,numeric_candidate,8
con31h,9,numeric_candidate,3
con32,8,numeric_candidate,23
con32,97,numeric_candidate,5
con32,98,numeric_candidate,1
con32,99,numeric_candidate,1
con4,8,numeric_candidate,1
con4,9,numeric_candidate,2
con5,8,numeric_candidate,2
con7,8,numeric_candidate,1
con8,9,numeric_candidate,2
con9,8,numeric_candidate,6
con9,9,numeric_candidate,3
fin24,8,numeric_candidate,128
fin24,9,numeric_candidate,7
fin45,8,numeric_candidate,7
