observed_values,column_count,columns
"[""1"", ""2"", ""3"", ""4""]",54,"[""domestic_remittances"", ""fin2"", ""fin4"", ""fin8"", ""fin10"", ""fin13_1"", ""fin13d"", ""fin13e"", ""fin13f"", ""fin14a"", ""fin14b"", ""fin14c"", ""fin14d"", ""fin14e"", ""fin15"", ""fin16"", ""fin17a"", ""fin17c"", ""fin17e"", ""fin19"", ""fin20"", ""fin22b"", ""fin22d"", ""fin22e"", ""fin22h"", ""fin24a"", ""fin24d2"", ""fin24d3"", ""fin25e2"", ""fin25e3"", ""fin26b"", ""fh1"", ""fh2"", ""fh2a"", ""fin31a"", ""fin31b"", ""fin36"", ""fin37"", ""fin38"", ""fin42"", ""con24"", ""fin46"", ""fin48a"", ""fin48b"", ""fin48c"", ""fin48d"", ""fin48e"", ""fin48f"", ""fin49a"", ""fin49b"", ""fin49c"", ""fin49d"", ""fin49e"", ""fin49f""]"
"[""1"", ""2"", ""8"", ""9""]",28,"[""con2a"", ""con2b"", ""con2c"", ""con2d"", ""con2f"", ""con4"", ""con9"", ""con10"", ""con11"", ""con14"", ""con18"", ""con20"", ""con21"", ""con23"", ""con25"", ""con30a"", ""con30c"", ""con30d"", ""con30f"", ""con30g"", ""con31a"", ""con31b"", ""con31c"", ""con31d"", ""con31e"", ""con31f"", ""con31g"", ""con31h""]"
"[""1"", ""2"", ""3""]",26,"[""educ"", ""fin3"", ""fin7"", ""fin9a"", ""fin9b"", ""fin17b"", ""fin17f"", ""fin18"", ""fin22a"", ""fin22a_1"", ""fin22f"", ""fin22g"", ""fin23"", ""fin24c"", ""fin24d1"", ""fin25e1"", ""fin26a"", ""fin30"", ""fin31d"", ""fin32"", ""fin35"", ""fin39b"", ""fin39d"", ""fin41"", ""fin44"", ""fin47""]"
"[""1"", ""2""]",16,"[""female"", ""emp_in"", ""fin13f_1"", ""fin21"", ""fin28"", ""fin29"", ""fin31c"", ""fin39a"", ""fin39c"", ""fin43b"", ""fin43c"", ""fin43d"", ""con6"", ""con13"", ""con19"", ""con22""]"
"[""1"", ""2"", ""3"", ""4"", ""5""]",11,"[""inc_q"", ""receive_wages"", ""receive_transfers"", ""receive_pensions"", ""receive_agriculture"", ""pay_utilities"", ""fin5"", ""fin6"", ""fin17d"", ""fin27"", ""fin40""]"
"[""0"", ""1""]",9,"[""account_fin"", ""account_mob"", ""account"", ""dig_account"", ""borrowed"", ""saved"", ""merchantpay_dig"", ""anydigpayment"", ""internet_use""]"
"[""1"", ""2"", ""4""]",8,"[""fin22c"", ""fin33"", ""fin34a"", ""fin34b"", ""fin34c"", ""fin34d"", ""fin43a"", ""con1""]"
"[""1"", ""2"", ""8""]",7,"[""con5"", ""con7"", ""con16"", ""con27"", ""con29"", ""con30e"", ""con30h""]"
"[""1"", ""2"", ""3"", ""4"", ""5"", ""6""]",4,"[""fin13a"", ""fin13b"", ""fin13c"", ""fin24b""]"
"[""1"", ""2"", ""9""]",4,"[""con2e"", ""con2g"", ""con8"", ""con30b""]"
"[""1"", ""2"", ""3"", ""4"", ""7"", ""8""]",2,"[""con12"", ""con28""]"
"[""1""]",1,"[""urbanicity""]"
"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]",1,"[""fin25e4""]"
"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]",1,"[""fin45""]"
"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",1,"[""fin24""]"
"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""97"", ""98"", ""99""]",1,"[""con32""]"
"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""97"", ""98"", ""99""]",1,"[""con3""]"
"[""1"", ""2"", ""3"", ""4"", ""7"", ""8"", ""9""]",1,"[""con26""]"
"[""1"", ""2"", ""3"", ""4"", ""8"", ""9""]",1,"[""con17""]"
"[""2024""]",1,"[""year""]"
"[""816208""]",1,"[""pop_adult""]"
"[""Eswatini""]",1,"[""economy""]"
"[""SWZ""]",1,"[""economycode""]"
"[""Sub-Saharan Africa (excluding high income)""]",1,"[""regionwb""]"
