position,variable,label,role,feature_tier,cleaned_dtype,missing_count,unique_count,cleaned_categories
1,account_fin,Has an account at a financial institution,target,TARGET,int8,0,2,"[""0"", ""1""]"
2,female,Respondent is female,categorical_predictor,CORE,string,0,2,"[""Female"", ""Male""]"
3,age,Respondent age,numeric_predictor,CORE,int16,0,75,
4,educ,Respondent education level,categorical_predictor,CORE,string,0,4,"[""Missing or nonresponse"", ""Primary education or less"", ""Secondary education"", ""Tertiary education or more""]"
5,inc_q,Within-economy household income quintile,categorical_predictor,CORE,string,0,5,"[""Income quintile 1"", ""Income quintile 2"", ""Income quintile 3"", ""Income quintile 4"", ""Income quintile 5""]"
6,emp_in,Respondent is in workforce,categorical_predictor,CORE,string,0,2,"[""In the workforce"", ""Out of the workforce""]"
7,fin24c,Experienced a natural disaster or severe weather event,categorical_predictor,CONDITIONAL,string,0,3,"[""No"", ""Nonresponse"", ""Yes""]"
8,internet_use,Used the internet within the past three months,categorical_predictor,CORE,string,0,2,"[""No / don't know / refused"", ""Yes""]"
9,con1,Have a mobile phone,categorical_predictor,CORE,string,0,3,"[""No"", ""Nonresponse"", ""Yes""]"
10,con9,Type of phone,categorical_predictor,CONDITIONAL,string,0,4,"[""A basic text phone"", ""A smartphone"", ""Nonresponse"", ""Not applicable / skipped""]"
11,con11,SIM registered in own name,categorical_predictor,CONDITIONAL,string,0,4,"[""No"", ""Nonresponse"", ""Not applicable / skipped"", ""Yes""]"
12,con12,Mobile phone use frequency,categorical_predictor,CONDITIONAL,string,0,7,"[""Daily"", ""Less than once a month"", ""Monthly"", ""Never"", ""Nonresponse"", ""Not applicable / skipped"", ""Weekly""]"
13,con14,Read a text message,categorical_predictor,CONDITIONAL,string,0,4,"[""No"", ""Nonresponse"", ""Not applicable / skipped"", ""Yes""]"
14,con16,Sent a text message,categorical_predictor,CONDITIONAL,string,0,4,"[""No"", ""Nonresponse"", ""Not applicable / skipped"", ""Yes""]"
15,con18,Have a PIN or password on mobile phone,categorical_predictor,CONDITIONAL,string,0,4,"[""No"", ""Nonresponse"", ""Not applicable / skipped"", ""Yes""]"
16,con20,Rules about using own phone,categorical_predictor,CONDITIONAL,string,0,4,"[""No"", ""Nonresponse"", ""Not applicable / skipped"", ""Yes""]"
17,fin46,ID ownership,categorical_predictor,CORE,string,0,3,"[""No"", ""Nonresponse"", ""Yes""]"
