encoded_index,encoded_feature,source_feature,feature_label,encoded_category,model,model_label,mean_abs_shap_log_odds,mean_signed_shap_log_odds,rank
0,categorical__female_Female,female,gender,Female,model1,Financial Inclusion,0.013077598758009668,0.0006871228761263284,20
1,categorical__female_Male,female,gender,Male,model1,Financial Inclusion,0.007749912833972875,0.0003257680440811881,23
2,categorical__age_group_15–24,age_group,age group,15–24,model1,Financial Inclusion,0.32418746560249345,-0.008164020798693208,1
3,categorical__age_group_25–34,age_group,age group,25–34,model1,Financial Inclusion,0.0024341040393928643,-0.0006138365559660685,28
4,categorical__age_group_35–44,age_group,age group,35–44,model1,Financial Inclusion,0.0,0.0,32
5,categorical__age_group_45–54,age_group,age group,45–54,model1,Financial Inclusion,0.0,0.0,33
6,categorical__age_group_55–64,age_group,age group,55–64,model1,Financial Inclusion,0.014876613405730384,-0.0028076869190902898,18
7,categorical__age_group_65+,age_group,age group,65+,model1,Financial Inclusion,0.038614243833188885,-0.002257509781734399,13
8,categorical__educ_Missing or nonresponse,educ,education level,Missing or nonresponse,model1,Financial Inclusion,0.0,0.0,34
9,categorical__educ_Primary education or less,educ,education level,Primary education or less,model1,Financial Inclusion,0.1842647770262791,-0.018095718985479528,3
10,categorical__educ_Secondary education,educ,education level,Secondary education,model1,Financial Inclusion,0.0,0.0,35
11,categorical__educ_Tertiary education or more,educ,education level,Tertiary education or more,model1,Financial Inclusion,0.10001299072084663,0.01794092380062347,8
12,categorical__inc_q_Income quintile 1,inc_q,income quintile,Income quintile 1,model1,Financial Inclusion,0.0,0.0,36
13,categorical__inc_q_Income quintile 2,inc_q,income quintile,Income quintile 2,model1,Financial Inclusion,0.0,0.0,37
14,categorical__inc_q_Income quintile 3,inc_q,income quintile,Income quintile 3,model1,Financial Inclusion,0.06225275953290194,0.01644755769840198,11
15,categorical__inc_q_Income quintile 4,inc_q,income quintile,Income quintile 4,model1,Financial Inclusion,0.0,0.0,38
16,categorical__inc_q_Income quintile 5,inc_q,income quintile,Income quintile 5,model1,Financial Inclusion,0.2536418406881689,0.03458972384549612,2
17,categorical__emp_in_In the workforce,emp_in,workforce status,In the workforce,model1,Financial Inclusion,0.16647907158634645,-0.004662534675312843,4
18,categorical__emp_in_Out of the workforce,emp_in,workforce status,Out of the workforce,model1,Financial Inclusion,0.15373828014936047,-0.0059077211989633375,5
19,categorical__fin24c_No,fin24c,natural-disaster or severe-weather experience,No,model1,Financial Inclusion,0.0,0.0,39
20,categorical__fin24c_Nonresponse,fin24c,natural-disaster or severe-weather experience,Nonresponse,model1,Financial Inclusion,0.023698960012490583,0.00575030467685353,16
21,categorical__fin24c_Yes,fin24c,natural-disaster or severe-weather experience,Yes,model1,Financial Inclusion,0.0,0.0,40
22,categorical__internet_use_No / don't know / refused,internet_use,recent internet use,No / don't know / refused,model1,Financial Inclusion,0.12760184696860444,0.010677107728997404,6
23,categorical__internet_use_Yes,internet_use,recent internet use,Yes,model1,Financial Inclusion,0.07509623468905924,0.004032263116136261,10
24,categorical__phone_access_tier_Basic text phone,phone_access_tier,phone access tier,Basic text phone,model1,Financial Inclusion,0.0,0.0,41
25,categorical__phone_access_tier_No personal mobile phone,phone_access_tier,phone access tier,No personal mobile phone,model1,Financial Inclusion,0.0,0.0,42
26,categorical__phone_access_tier_Phone ownership nonresponse,phone_access_tier,phone access tier,Phone ownership nonresponse,model1,Financial Inclusion,0.0,0.0,43
27,categorical__phone_access_tier_Phone type nonresponse,phone_access_tier,phone access tier,Phone type nonresponse,model1,Financial Inclusion,0.009706638468235723,-0.002700375626075264,21
28,categorical__phone_access_tier_Smartphone,phone_access_tier,phone access tier,Smartphone,model1,Financial Inclusion,0.004546922039506617,-0.00011330964931537092,27
29,categorical__con11_No,con11,SIM registration in own name,No,model1,Financial Inclusion,0.12331248034058519,0.0007949774890622882,7
30,categorical__con11_Nonresponse,con11,SIM registration in own name,Nonresponse,model1,Financial Inclusion,0.0,0.0,44
31,categorical__con11_Not applicable / skipped,con11,SIM registration in own name,Not applicable / skipped,model1,Financial Inclusion,0.0,0.0,45
32,categorical__con11_Yes,con11,SIM registration in own name,Yes,model1,Financial Inclusion,0.008408428226830831,0.0003040426038893391,22
33,categorical__con12_Daily,con12,mobile-phone use frequency,Daily,model1,Financial Inclusion,0.0,0.0,46
34,categorical__con12_Less than once a month,con12,mobile-phone use frequency,Less than once a month,model1,Financial Inclusion,0.0,0.0,47
35,categorical__con12_Monthly,con12,mobile-phone use frequency,Monthly,model1,Financial Inclusion,0.0,0.0,48
36,categorical__con12_Nonresponse,con12,mobile-phone use frequency,Nonresponse,model1,Financial Inclusion,0.000543350504147784,0.000543350504147784,31
37,categorical__con12_Not applicable / skipped,con12,mobile-phone use frequency,Not applicable / skipped,model1,Financial Inclusion,0.0,0.0,49
38,categorical__con12_Weekly,con12,mobile-phone use frequency,Weekly,model1,Financial Inclusion,0.007300143196136562,-0.005159438505436087,24
39,categorical__con14_No,con14,ability to read a text message,No,model1,Financial Inclusion,0.0,0.0,50
