model,model_label,source_feature,feature_label,mean_abs_shap_log_odds,mean_signed_shap_log_odds,importance_share,rank
model1,Financial Inclusion,age_group,age group,0.3348265314460443,-0.013843054055483988,0.18869113437713458,1
model1,Financial Inclusion,emp_in,workforce status,0.3202173517357068,-0.010570255874276182,0.1804581467463225,2
model1,Financial Inclusion,inc_q,income quintile,0.26660447962536454,0.05103728154389809,0.15024466989899293,3
model1,Financial Inclusion,educ,education level,0.22303127880106632,-0.00015479518485607657,0.12568903908780543,4
model1,Financial Inclusion,internet_use,recent internet use,0.2026980816576638,0.014709370845133674,0.11423028754284072,5
model1,Financial Inclusion,con11,SIM registration in own name,0.1277726662447594,0.0010990200929516217,0.07200614966798055,6
model1,Financial Inclusion,con18,phone PIN or password,0.11278620120950267,-0.0017612999273451315,0.06356054329505326,7
model1,Financial Inclusion,con20,rules imposed on own-phone use,0.06493646098826525,0.011947827071126791,0.0365948732718238,8
model1,Financial Inclusion,fin46,ID ownership,0.04011203791939243,0.007647329088381255,0.022605096150836154,9
model1,Financial Inclusion,fin24c,natural-disaster or severe-weather experience,0.02369896001249056,0.005750304676853531,0.013355523616968215,10
model1,Financial Inclusion,female,gender,0.02082751159198255,0.0010128909202075146,0.011737321924793176,11
model1,Financial Inclusion,con16,ability to send a text message,0.01866286283569105,-0.0011677093121519172,0.01051743642889568,12
model1,Financial Inclusion,phone_access_tier,phone access tier,0.011451015814253425,-0.0028136852753906333,0.006453207738438056,13
model1,Financial Inclusion,con12,mobile-phone use frequency,0.006843363600818797,-0.004616088001288302,0.0038565702521150876,14
model1,Financial Inclusion,con14,ability to read a text message,0.0,0.0,0.0,15
model2,Mobile Money Adoption,con11,SIM registration in own name,0.2691562802023284,-0.013380600236872684,0.16284069015401956,1
model2,Mobile Money Adoption,age_group,age group,0.1991108249015406,0.024312721279319903,0.12046289285811927,2
model2,Mobile Money Adoption,internet_engagement_level,internet engagement,0.17223221850602624,-0.002051930508391869,0.10420122208256238,3
model2,Mobile Money Adoption,data_purchase_pattern,data-purchase pattern,0.16991141707568774,0.007069399046863976,0.10279712738210557,4
model2,Mobile Money Adoption,inc_q,income quintile,0.16909466635418707,0.0022145496361430407,0.10230298973436805,5
model2,Mobile Money Adoption,educ,education level,0.0989242372329854,0.004364089783701115,0.05984958274750278,6
model2,Mobile Money Adoption,emp_in,workforce status,0.0976206172196782,0.002950608265834583,0.05906088711496558,7
model2,Mobile Money Adoption,con16,ability to send a text message,0.09433714052241299,0.0050352005686744835,0.057074369798388834,8
model2,Mobile Money Adoption,phone_access_tier,phone access tier,0.08681563889581699,0.0016530514408009851,0.05252382943964718,9
model2,Mobile Money Adoption,con20,rules imposed on own-phone use,0.07694230014015144,-0.009757598339345539,0.046550417651193214,10
model2,Mobile Money Adoption,con12,mobile-phone use frequency,0.05173573087072571,-0.0044036940467692435,0.03130033642268589,11
model2,Mobile Money Adoption,fin24c,natural-disaster or severe-weather experience,0.048959877465472146,0.008829503660935881,0.029620933348984305,12
model2,Mobile Money Adoption,fin46,ID ownership,0.040041556095237935,-0.0012428366336423185,0.024225311125892976,13
model2,Mobile Money Adoption,female,gender,0.036966581432739794,-0.0026500886652090997,0.022364938423941105,14
model2,Mobile Money Adoption,con18,phone PIN or password,0.025566781619545967,-0.002496957764945097,0.015468011226839473,15
model2,Mobile Money Adoption,con14,ability to read a text message,0.015465115620912786,0.0017066699236071743,0.009356460488783948,16
