model,model_label,example_type,holdout_row,question,prediction_statement,probability,source_feature,feature_label,profile_value,shap_log_odds,direction,explanation_text,factor_rank
model1,Financial Inclusion,lowest_probability,92,"Based on the characteristics provided, is this person likely to be financially included?",This person is unlikely to be financially included.,0.12625001287694299,age_group,age group,15–24,-0.8466032244925661,reduced,Age group (15–24) reduced the prediction relative to the model baseline.,1
model1,Financial Inclusion,lowest_probability,92,"Based on the characteristics provided, is this person likely to be financially included?",This person is unlikely to be financially included.,0.12625001287694299,con11,SIM registration in own name,No,-0.6436546464638737,reduced,Sim registration in own name (No) reduced the prediction relative to the model baseline.,2
model1,Financial Inclusion,lowest_probability,92,"Based on the characteristics provided, is this person likely to be financially included?",This person is unlikely to be financially included.,0.12625001287694299,inc_q,income quintile,Income quintile 3,-0.4134613005006237,reduced,Income quintile (Income quintile 3) reduced the prediction relative to the model baseline.,3
model1,Financial Inclusion,lowest_probability,92,"Based on the characteristics provided, is this person likely to be financially included?",This person is unlikely to be financially included.,0.12625001287694299,emp_in,workforce status,In the workforce,0.25821450847069,increased,Workforce status (In the workforce) increased the prediction relative to the model baseline.,4
model1,Financial Inclusion,lowest_probability,92,"Based on the characteristics provided, is this person likely to be financially included?",This person is unlikely to be financially included.,0.12625001287694299,internet_use,recent internet use,No / don't know / refused,-0.14994791074046193,reduced,Recent internet use (No / don't know / refused) reduced the prediction relative to the model baseline.,5
model1,Financial Inclusion,boundary,108,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.5061847812607466,educ,education level,Primary education or less,-0.4261714125463494,reduced,Education level (Primary education or less) reduced the prediction relative to the model baseline.,1
model1,Financial Inclusion,boundary,108,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.5061847812607466,emp_in,workforce status,In the workforce,0.30128344785563366,increased,Workforce status (In the workforce) increased the prediction relative to the model baseline.,2
model1,Financial Inclusion,boundary,108,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.5061847812607466,internet_use,recent internet use,Yes,0.1946344444596902,increased,Recent internet use (Yes) increased the prediction relative to the model baseline.,3
model1,Financial Inclusion,boundary,108,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.5061847812607466,con18,phone PIN or password,No,-0.19259679173232447,reduced,Phone pin or password (No) reduced the prediction relative to the model baseline.,4
model1,Financial Inclusion,boundary,108,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.5061847812607466,age_group,age group,35–44,0.15852967980037685,increased,Age group (35–44) increased the prediction relative to the model baseline.,5
model1,Financial Inclusion,highest_probability,204,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.9241804287716795,educ,education level,Tertiary education or more,0.9095307262481235,increased,Education level (Tertiary education or more) increased the prediction relative to the model baseline.,1
model1,Financial Inclusion,highest_probability,204,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.9241804287716795,inc_q,income quintile,Income quintile 5,0.6918100731881804,increased,Income quintile (Income quintile 5) increased the prediction relative to the model baseline.,2
model1,Financial Inclusion,highest_probability,204,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.9241804287716795,age_group,age group,65+,0.6460876184901739,increased,Age group (65+) increased the prediction relative to the model baseline.,3
model1,Financial Inclusion,highest_probability,204,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.9241804287716795,internet_use,recent internet use,Yes,0.27017938688132004,increased,Recent internet use (Yes) increased the prediction relative to the model baseline.,4
model1,Financial Inclusion,highest_probability,204,"Based on the characteristics provided, is this person likely to be financially included?",This person is likely to be financially included.,0.9241804287716795,emp_in,workforce status,Out of the workforce,-0.2502240037758027,reduced,Workforce status (Out of the workforce) reduced the prediction relative to the model baseline.,5
model2,Mobile Money Adoption,lowest_probability,26,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.10234310723676789,con11,SIM registration in own name,No,-0.7851037616573723,reduced,Sim registration in own name (No) reduced the prediction relative to the model baseline.,1
model2,Mobile Money Adoption,lowest_probability,26,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.10234310723676789,inc_q,income quintile,Income quintile 1,-0.3331372124204048,reduced,Income quintile (Income quintile 1) reduced the prediction relative to the model baseline.,2
model2,Mobile Money Adoption,lowest_probability,26,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.10234310723676789,age_group,age group,15–24,-0.3201283843650114,reduced,Age group (15–24) reduced the prediction relative to the model baseline.,3
model2,Mobile Money Adoption,lowest_probability,26,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.10234310723676789,con20,rules imposed on own-phone use,Yes,-0.22399650744575636,reduced,Rules imposed on own-phone use (Yes) reduced the prediction relative to the model baseline.,4
model2,Mobile Money Adoption,lowest_probability,26,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.10234310723676789,internet_engagement_level,internet engagement,No recent internet use / no-DK-ref,-0.21524814941877607,reduced,Internet engagement (No recent internet use / no-DK-ref) reduced the prediction relative to the model baseline.,5
model2,Mobile Money Adoption,boundary,67,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.4982330346312675,internet_engagement_level,internet engagement,No recent internet use / no-DK-ref,-0.21524814941877607,reduced,Internet engagement (No recent internet use / no-DK-ref) reduced the prediction relative to the model baseline.,1
model2,Mobile Money Adoption,boundary,67,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.4982330346312675,con11,SIM registration in own name,Yes,0.16890846790171604,increased,Sim registration in own name (Yes) increased the prediction relative to the model baseline.,2
model2,Mobile Money Adoption,boundary,67,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.4982330346312675,data_purchase_pattern,data-purchase pattern,No recent internet use / skipped,-0.16714420289236118,reduced,Data-purchase pattern (No recent internet use / skipped) reduced the prediction relative to the model baseline.,3
model2,Mobile Money Adoption,boundary,67,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.4982330346312675,inc_q,income quintile,Income quintile 4,0.11995891948919185,increased,Income quintile (Income quintile 4) increased the prediction relative to the model baseline.,4
model2,Mobile Money Adoption,boundary,67,"Based on the characteristics provided, is this person likely to use mobile money?",This person is unlikely to use mobile money.,0.4982330346312675,age_group,age group,45–54,-0.10669754093250489,reduced,Age group (45–54) reduced the prediction relative to the model baseline.,5
model2,Mobile Money Adoption,highest_probability,31,"Based on the characteristics provided, is this person likely to use mobile money?",This person is likely to use mobile money.,0.8141223800114425,age_group,age group,25–34,0.2839390221033362,increased,Age group (25–34) increased the prediction relative to the model baseline.,1
model2,Mobile Money Adoption,highest_probability,31,"Based on the characteristics provided, is this person likely to use mobile money?",This person is likely to use mobile money.,0.8141223800114425,data_purchase_pattern,data-purchase pattern,Purchases data weekly,0.2034493401723643,increased,Data-purchase pattern (Purchases data weekly) increased the prediction relative to the model baseline.,2
model2,Mobile Money Adoption,highest_probability,31,"Based on the characteristics provided, is this person likely to use mobile money?",This person is likely to use mobile money.,0.8141223800114425,con11,SIM registration in own name,Yes,0.16890846790171604,increased,Sim registration in own name (Yes) increased the prediction relative to the model baseline.,3
model2,Mobile Money Adoption,highest_probability,31,"Based on the characteristics provided, is this person likely to use mobile money?",This person is likely to use mobile money.,0.8141223800114425,internet_engagement_level,internet engagement,Daily internet use,0.145023410994823,increased,Internet engagement (Daily internet use) increased the prediction relative to the model baseline.,4
model2,Mobile Money Adoption,highest_probability,31,"Based on the characteristics provided, is this person likely to use mobile money?",This person is likely to use mobile money.,0.8141223800114425,phone_access_tier,phone access tier,Basic text phone,0.13201984260712318,increased,Phone access tier (Basic text phone) increased the prediction relative to the model baseline.,5
